,Name,Position,Team,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
33,Shai Gilgeous-Alexander,PG,Oklahoma City Thunder,30913750.0,5495532.0,4141320.0,3952920.0,3375360.0,,,,,,,,,,,,,
34,Deandre Ayton,C,Phoenix Suns,30913750.0,12632950.0,9562920.0,9562920.0,8165160.0,,,,,,,,,,,,,
35,Michael Porter Jr.,SF,Denver Nuggets,30912500.0,5258735.0,3550800.0,3389400.0,2894160.0,,,,,,,,,,,,,
36,Donovan Mitchell,SG,Utah Jazz,30351780.0,28103500.0,5195501.0,3635760.0,3111480.0,2621280.0,,,,,,,,,,,,
37,Bam Adebayo,C,Miami Heat,30351780.0,28103500.0,5115492.0,3454080.0,2955840.0,2955840.0,,,,,,,,,,,,
38,Gordon Hayward,SF,Charlotte Hornets,30075000.0,29925000.0,28500000.0,32700690.0,31214295.0,29727900.0,16073140.0,15409570.0,14746000.0,3452183.0,2709720.0,2709720.0,2356320.0,,,,,
39,Jaren Jackson Jr.,PF,Memphis Grizzlies,28946605.0,9180560.0,7257360.0,6927480.0,5915040.0,,,,,,,,,,,,,
40,Kevin Love,PF,Cleveland Cavaliers,28942830.0,31258256.0,31258256.0,28942830.0,24119025.0,24119025.0,21165675.0,19689000.0,15719063.0,14693906.0,13668750.0,4609701.0,3638280.0,3401040.0,3163680.0,,,
41,Jaylen Brown,SG,Boston Celtics,28741071.0,26758928.0,23735118.0,6534829.0,5169960.0,4956480.0,4743000.0,,,,,,,,,,,
42,Chris Paul,PG,Phoenix Suns,28400000.0,30000000.0,41358814.0,38506482.0,35654150.0,24599495.0,22868827.0,21468695.0,20068563.0,18668431.0,18668431.0,16359805.0,14940153.0,13520500.0,4574189.0,3615960.0,3380160.0,3144240.0
43,Kyle Lowry,PG,Miami Heat,28333334.0,26894128.0,30500000.0,34996296.0,31200000.0,31200000.0,12000000.0,12000000.0,12000000.0,6210000.0,5750000.0,5750000.0,5750000.0,2034996.0,1163520.0,1087680.0,1011720.0,
44,De'Aaron Fox,PG,Sacramento Kings,28103550.0,28103550.0,8099627.0,6392760.0,5470920.0,4609200.0,,,,,,,,,,,,
45,Jayson Tatum,SF,Boston Celtics,28103500.0,28103500.0,9897120.0,7830000.0,6700800.0,5645400.0,,,,,,,,,,,,
46,Jalen Brunson,PG,New York Knicks,27733332.0,1802057.0,1663861.0,1416852.0,1230000.0,,,,,,,,,,,,,
47,DeMar DeRozan,SF,Chicago Bulls,27300000.0,26000000.0,27739975.0,27739975.0,27739975.0,27739975.0,26540100.0,10050000.0,10100000.0,9500000.0,3344250.0,3344250.0,2453880.0,2282640.0,,,,
48,Al Horford,C,Boston Celtics,26500000.0,27000000.0,27500000.0,28000000.0,28928709.0,27734406.0,26540100.0,12000000.0,12000000.0,12000000.0,12000000.0,12498483.0,5444857.0,4307640.0,4023720.0,3745800.0,,
49,Draymond Green,PF,Golden State Warriors,25806469.0,24026712.0,22246956.0,18539130.0,17469565.0,17469565.0,15330435.0,14260870.0,915243.0,875500.0,850000.0,,,,,,,
50,Julius Randle,PF,New York Knicks,23760000.0,21780000.0,18900000.0,18000000.0,8641000.0,4149242.0,3267120.0,3132240.0,2997360.0,,,,,,,,,
